salario_hora,no_ambos_padres_bio,educacion,edad,afqt_score,mujer,hispano,negro
25.719999999999999,0,12,48,36,1,0,0
25.77,0,14,51,60,1,0,0
,0,13,52,72,1,0,0
13.460000000000001,0,14,52,,1,0,0
39.420000000000002,1,12,46,35,1,0,0
35.890000000000001,0,20,51,74,0,0,0
30,0,16,46,40,1,0,0
22.350000000000001,1,12,51,93,1,0,0
53.5,0,16,49,98,0,0,0
23.350000000000001,0,16,48,67,0,0,0
24.030000000000001,0,20,51,99,0,0,0
46.149999999999999,0,13,52,75,0,0,0
19.5,0,12,50,33,1,0,0
,0,12,46,28,1,0,0
16,0,15,50,92,0,0,0
,0,16,52,27,0,0,0
20.510000000000002,0,16,48,98,0,0,0
22.02,0,17,45,81,1,0,0
5.2599999999999998,0,12,48,63,0,0,0
,0,15,48,29,1,0,0
13.31,0,14,51,72,0,0,0
38.119999999999997,0,12,51,89,1,0,0
36.850000000000001,0,16,49,73,0,0,0
21.809999999999999,0,12,49,46,0,0,0
37,0,16,46,32,0,0,0
,0,12,52,13,1,0,0
76.920000000000002,0,16,48,89,1,0,0
4.7999999999999998,0,16,47,79,1,0,0
,0,15,47,69,0,0,0
1.47,0,17,51,65,1,0,0
29.25,0,18,47,71,1,0,0
30,0,12,50,,0,0,0
35.799999999999997,0,15,49,66,1,0,0
9.0500000000000007,1,12,46,28,1,0,0
8.5,0,12,47,51,0,0,0
40.380000000000003,0,12,46,74,0,0,0
16.27,0,14,48,32,1,0,0
17.219999999999999,1,12,46,64,0,0,0
38.299999999999997,1,12,46,30,1,0,0
,1,12,50,42,0,0,0
45.729999999999997,0,12,48,94,1,0,0
,1,12,46,,1,0,0
4.1900000000000004,0,9,46,34,0,0,0
,1,11,50,7,0,0,0
28.84,0,19,47,47,1,0,0
35,0,14,49,85,1,0,0
25.010000000000002,0,12,48,29,1,0,0
17.940000000000001,0,12,49,50,1,0,0
18.75,1,16,49,16,0,0,1
3.77,1,14,47,17,1,0,1
47.049999999999997,0,16,48,85,0,0,0
,1,9,52,1,1,0,0
30.210000000000001,1,13,49,48,1,1,0
13,0,14,52,,1,0,0
41.659999999999997,0,12,50,49,0,0,0
40.859999999999999,0,16,51,91,0,0,0
14,0,12,51,43,1,0,0
28.84,0,12,52,,0,0,0
,1,13,46,,0,0,0
16.34,0,12,51,48,1,0,0
15.369999999999999,0,16,49,60,1,0,0
30,0,12,46,35,0,0,0
44.229999999999997,0,18,50,87,1,0,0
8.5999999999999996,0,10,50,18,1,0,0
62.5,0,16,51,55,0,0,0
45.009999999999998,0,18,48,59,1,0,0
41.950000000000003,0,19,46,74,0,0,0
32,0,16,46,65,1,0,0
63.939999999999998,0,16,52,54,0,0,0
4.7999999999999998,0,18,50,94,0,0,0
48.950000000000003,0,18,46,63,0,0,0
25,0,12,51,25,0,0,0
15.550000000000001,0,12,51,25,1,0,0
16.02,0,16,52,98,0,0,0
9,0,14,49,73,0,0,0
10.98,1,12,53,22,1,1,0
3.8399999999999999,0,12,53,6,1,1,0
14.1,1,12,46,15,0,0,0
,0,16,47,50,0,0,0
,0,16,45,59,1,0,0
48.07,0,12,48,54,0,0,0
48.07,0,15,45,52,0,0,0
10,0,16,49,,1,0,0
125.41,0,16,52,84,0,0,0
49.57,0,20,50,65,1,0,0
63.140000000000001,0,20,49,89,1,0,0
12.5,1,12,45,1,1,0,1
,1,9,48,1,0,0,1
27,1,12,47,3,0,0,1
7.4199999999999999,1,12,49,14,1,0,1
12.66,1,12,52,7,1,0,1
3.5,0,9,52,4,1,1,0
3.73,0,12,47,40,1,0,0
32.770000000000003,0,15,45,28,0,0,0
23.07,0,12,52,42,1,0,0
19.23,0,14,48,51,0,0,0
20.25,0,12,45,19,0,0,0
20.600000000000001,0,12,48,31,0,0,0
16.25,0,15,46,52,0,0,0
21.359999999999999,0,13,48,69,1,0,0
,1,12,52,74,1,0,0
9.5899999999999999,0,10,48,7,1,0,0
17.25,0,12,47,46,1,0,0
36.049999999999997,0,12,51,32,1,0,0
45.189999999999998,0,12,51,71,0,0,0
10,0,12,52,80,1,0,0
19.829999999999998,0,14,47,89,1,0,0
42.920000000000002,1,20,51,63,0,0,0
11,1,14,49,12,0,0,0
8.75,1,17,46,46,1,0,0
,0,12,51,,1,0,0
,1,12,47,,0,0,0
8.9700000000000006,1,12,45,,1,0,0
12.85,1,11,45,17,0,0,0
15.9,0,12,48,98,1,0,0
7.4000000000000004,0,12,47,52,1,0,0
,0,13,48,48,1,0,0
10.93,0,12,45,49,0,0,0
,0,14,51,98,1,0,0
12.75,0,12,51,66,0,0,0
30.280000000000001,0,15,49,89,0,0,0
45.670000000000002,0,16,46,75,0,0,0
15,1,16,47,93,1,0,0
,0,12,52,14,0,0,0
,0,14,51,58,0,0,0
117.52,0,16,50,74,0,0,0
,1,16,53,95,1,0,0
18.66,1,15,50,76,0,0,0
8.5,1,13,49,87,0,0,0
27.390000000000001,1,14,46,53,1,0,0
13.460000000000001,0,12,50,31,0,0,0
8.5,0,13,50,48,1,0,0
,0,12,47,46,0,0,0
46.07,0,18,48,83,0,0,0
14.42,0,16,46,77,1,0,0
35.57,0,12,51,26,0,1,0
36.049999999999997,0,12,50,42,0,1,0
19.629999999999999,0,12,48,18,1,1,0
31.199999999999999,0,16,45,43,1,1,0
15.66,0,12,51,42,1,0,0
12,0,12,48,19,1,0,0
9.0600000000000005,0,12,47,24,1,0,0
9.25,0,10,49,8,1,1,0
7.2800000000000002,1,12,50,35,0,0,1
21.809999999999999,0,18,52,96,1,0,0
20.43,0,13,50,87,1,0,0
15.85,0,12,48,44,1,0,0
21,1,12,47,25,0,0,0
7.21,0,12,52,72,1,0,0
,1,11,47,12,0,1,0
19.710000000000001,1,12,48,23,0,1,0
14,1,12,49,5,0,1,0
16.030000000000001,0,12,46,6,0,1,0
9,1,11,45,3,0,1,0
12.449999999999999,1,12,47,38,1,1,0
14.41,1,14,50,34,0,0,1
9,0,12,52,65,1,0,0
11,0,12,48,14,0,0,0
14.42,0,12,49,21,0,0,0
24.030000000000001,0,12,45,13,0,0,0
30.32,0,14,48,42,1,0,0
18.899999999999999,0,11,46,29,0,0,0
10,0,12,45,16,0,0,0
